Summary,Sentiment
backlight effect amazingkey life millions keystrokescable length metrekeyboard weight grams,positive
nice product,positive
nice,positive
excellent product,positive
quality good,positive
good,positive
good satisfied,positive
best thanks,positive
nice produce,positive
dont worry must buy product,positive
good,positive
good product,positive
excellent,positive
value moneyi didnt expect priceit featuresmi really tv category well mobile category,positive
good quality,positive
nice kajal,positive
router packed well delivered within two days performance router excellent past one yearit first purchase flipkart hopefully first many come,positive
super good,positive
nice,positive
bad,positive
good,positive
working fine,positive
super,positive
excellent performance tv turn smart tvconnect phone using cast optionyoutubewynk music hotstar working superbthank flipkart,positive
perfect,positive
nice,positive
good,positive
good product,positive
superb product,positive
good,positive
product super bass super,positive
nice,positive
product really good running perfectly till atleast delay days installation reson giving one less star overall everything perfect delivery installation,positive
expected nice,positive
amazing,positive
great,positive
good product,positive
good,positive
good,positive
good,positive
beautiful,positive
good,positive
excellent amazing thank flipkart,positive
awesome product,positive
good,positive
also friends use,positive
good product,positive
good,positive
best value money pd type c charging,positive
nice products,positive
pant quality good,positive
superbmade philippines great product received,positive
nice product,positive
ossssssssm love,positive
waterproof greatmaterial quality awesomein shade product colour faded okay,positive
good product,positive
nice pants,positive
good product,positive
nice qualitygo,positive
amazing useful productquality good,positive
product good enough peoples timer hard adjust timer set decrease,positive
nice product,positive
ok pricemust buy,positive
good product,positive
good quality thanks flipkart,positive
infinx company superb,positive
loved neckband comfortable fit earsoutside noise totally went offi wish get many good products oneplus ahead,positive
awesome worth product price im thankful flipkart available type product cheaper cost market price bought cycle,positive
nice product,positive
good quality,positive
great product,positive
super,positive
nice quality good,positive
beautiful ocm,positive
good producti happy,positive
good discounted price,positive
awesome book made good qualitygood price range,positive
good,positive
nice,positive
perfect,positive
nice track pant,positive
great packaging great quality,positive
good quality product,positive
really useful product,positive
good,positive
nice,positive
good product boat compare boat like noise bcz better looks byed company boat noise noise looks good better boat overall features boat also good watch dont features check blood pressure expecting anyway,positive
good product,positive
durability,positive
nice,positive
nice,positive
good quality,positive
happy thanku flipkart,positive
good prodect,positive
well using weeki didnt found anything wrong regarding performance even holds firm using mixer grinderapart well support fans led tubes led tv without fluctuation irritating noisesatisfied till performance,positive
superbly working able clean kinds vessels,positive
excellent cooler excellent air flow super cooling almost silence functionsturdy bodysmart looking coolerthank maharaja white line flipkart,positive
nice product,positive
excellent,positive
good product,positive
simply superb,positive
bass awesome sound quality normal battery backup also good overall best,positive
awesome,positive
nice product,positive
good product,positive
super except installation,positive
good,positive
basic microwave oven basically used reheating food job desired,positive
good,positive
nice product,positive
fantastic prodect,positive
good product cheap price,positive
awesome,positive
nice product,positive
good,positive
nice,positive
nice product,positive
good google assistant mr,positive
good product,positive
nice product,positive
good product,positive
good one,positive
nice product,positive
fine price u investedthis review month usage,positive
good,positive
nice,positive
super thanks flip kart,positive
wow,positive
good,positive
gud quality,positive
nice products,positive
wonderful birthday kit make party fabulous,positive
excellent productworthy one,positive
good,positive
nice,positive
easy interface nice look,positive
nice product worth money,positive
good product,positive
good,positive
video sound quality good expecting user friendly navigation mark novice usersbuild quality awesome,positive
nice product,positive
product good think given good gift sonthank flipkart,positive
nice product must buy,positive
nice product,positive
smart wet grinder crushes rice soon compared others easy use counter clockwise rotation awesome grinds small n tiny floor prepared soft soon worth money,positive
usefull kids,positive
best entrylevel dslr,positive
good product,positive
quality good size small absorbing water good cloth,positive
nice product good package,positive
super product nice drive,positive
good,positive
good quality,positive
quality good bottom shown pic narrow plane normal,positive
good quality without damage,positive
good comfortable,positive
super,positive
good product,positive
nice,positive
nice product,positive
good,positive
nice adorable multi colour lights one tap good productmoon hand,positive
light n comfortable,positive
good,positive
good,positive
good speed,positive
nice,positive
good product,positive
